OID,newcodes,area,pop_2010,ORIG_FID
0,1,5884589.908,64518,0
1,1,5884589.908,64518,0
2,1,5884589.908,64518,0
3,1,5884589.908,64518,0
4,1,5884589.908,64518,0
5,1,5884589.908,64518,0
6,1,5884589.908,64518,0
7,1,5884589.908,64518,0
8,1,5884589.908,64518,0
9,1,5884589.908,64518,0
10,1,5884589.908,64518,0
11,1,5884589.908,64518,0
12,1,5884589.908,64518,0
13,1,5884589.908,64518,0
14,1,5884589.908,64518,0
15,1,5884589.908,64518,0
16,1,5884589.908,64518,0
17,1,5884589.908,64518,0
18,1,5884589.908,64518,0
19,1,5884589.908,64518,0
20,1,5884589.908,64518,0
21,1,5884589.908,64518,0
22,1,5884589.908,64518,0
23,1,5884589.908,64518,0
24,1,5884589.908,64518,0
25,1,5884589.908,64518,0
26,1,5884589.908,64518,0
27,1,5884589.908,64518,0
28,1,5884589.908,64518,0
29,1,5884589.908,64518,0
30,1,5884589.908,64518,0
31,1,5884589.908,64518,0
32,1,5884589.908,64518,0
33,1,5884589.908,64518,0
34,1,5884589.908,64518,0
35,1,5884589.908,64518,0
36,1,5884589.908,64518,0
37,1,5884589.908,64518,0
38,1,5884589.908,64518,0
39,1,5884589.908,64518,0
40,1,5884589.908,64518,0
41,1,5884589.908,64518,0
42,1,5884589.908,64518,0
43,1,5884589.908,64518,0
44,1,5884589.908,64518,0
45,1,5884589.908,64518,0
46,1,5884589.908,64518,0
47,1,5884589.908,64518,0
48,1,5884589.908,64518,0
49,1,5884589.908,64518,0
50,1,5884589.908,64518,0
51,1,5884589.908,64518,0
52,1,5884589.908,64518,0
53,1,5884589.908,64518,0
54,1,5884589.908,64518,0
55,1,5884589.908,64518,0
56,1,5884589.908,64518,0
57,1,5884589.908,64518,0
58,1,5884589.908,64518,0
59,1,5884589.908,64518,0
60,1,5884589.908,64518,0
61,1,5884589.908,64518,0
62,1,5884589.908,64518,0
63,1,5884589.908,64518,0
64,1,5884589.908,64518,0
65,1,5884589.908,64518,0
66,1,5884589.908,64518,0
67,1,5884589.908,64518,0
68,1,5884589.908,64518,0
69,1,5884589.908,64518,0
70,1,5884589.908,64518,0
71,1,5884589.908,64518,0
72,1,5884589.908,64518,0
73,1,5884589.908,64518,0
74,1,5884589.908,64518,0
75,1,5884589.908,64518,0
76,1,5884589.908,64518,0
77,1,5884589.908,64518,0
78,1,5884589.908,64518,0
79,1,5884589.908,64518,0
80,1,5884589.908,64518,0
81,1,5884589.908,64518,0
82,1,5884589.908,64518,0
83,1,5884589.908,64518,0
84,1,5884589.908,64518,0
85,1,5884589.908,64518,0
86,1,5884589.908,64518,0
87,1,5884589.908,64518,0
88,1,5884589.908,64518,0
89,1,5884589.908,64518,0
90,1,5884589.908,64518,0
91,1,5884589.908,64518,0
92,1,5884589.908,64518,0
93,1,5884589.908,64518,0
94,1,5884589.908,64518,0
95,1,5884589.908,64518,0
96,1,5884589.908,64518,0
97,1,5884589.908,64518,0
98,1,5884589.908,64518,0
99,1,5884589.908,64518,0
100,1,5884589.908,64518,0
101,1,5884589.908,64518,0
102,1,5884589.908,64518,0
103,1,5884589.908,64518,0
104,1,5884589.908,64518,0
105,1,5884589.908,64518,0
106,1,5884589.908,64518,0
107,1,5884589.908,64518,0
108,1,5884589.908,64518,0
109,1,5884589.908,64518,0
110,1,5884589.908,64518,0
111,1,5884589.908,64518,0
112,1,5884589.908,64518,0
113,1,5884589.908,64518,0
114,1,5884589.908,64518,0
115,1,5884589.908,64518,0
116,1,5884589.908,64518,0
117,1,5884589.908,64518,0
118,1,5884589.908,64518,0
119,1,5884589.908,64518,0
120,1,5884589.908,64518,0
121,1,5884589.908,64518,0
122,1,5884589.908,64518,0
123,1,5884589.908,64518,0
124,1,5884589.908,64518,0
125,1,5884589.908,64518,0
126,1,5884589.908,64518,0
127,1,5884589.908,64518,0
128,1,5884589.908,64518,0
129,1,5884589.908,64518,0
130,1,5884589.908,64518,0
131,1,5884589.908,64518,0
132,1,5884589.908,64518,0
133,1,5884589.908,64518,0
134,1,5884589.908,64518,0
135,1,5884589.908,64518,0
136,1,5884589.908,64518,0
137,1,5884589.908,64518,0
138,1,5884589.908,64518,0
139,1,5884589.908,64518,0
140,1,5884589.908,64518,0
141,1,5884589.908,64518,0
142,1,5884589.908,64518,0
143,1,5884589.908,64518,0
